label
- inp_readm30 
cancer 
renalfailure 
pulmonarydisease 
cardiacdisease 
obesity 
pregnancy 
- sickle
smoke 
sot 
diabetes 
cbvsc 
hypertension 
hivaids 
liverdisease 
neuro 
- thalass 
paralysis 
hypothyroid 
- peptic 
rheum 
coag 
- wtloss 
- fluelec 
- blanemia 
danemia 
- alcabuse 
dabuse 
psychoses 
depression 
- mv
